iter	Passed	Remaining
0	143	14178
1	144	7057
2	144	4682
3	145	3495
4	146	2782
5	147	2308
6	148	1968
7	149	1713
8	149	1515
9	150	1356
10	151	1225
11	152	1117
12	153	1025
13	154	947
14	155	878
15	156	819
16	156	765
17	157	718
18	158	676
19	159	637
20	160	603
21	161	571
22	162	543
23	163	516
24	163	491
25	164	469
26	165	448
27	166	428
28	167	410
29	168	394
30	169	377
31	170	363
32	171	348
33	172	335
34	173	322
35	174	310
36	175	298
37	176	287
38	177	277
39	178	267
40	179	257
41	180	248
42	181	239
43	181	231
44	182	223
45	183	215
46	184	208
47	185	201
48	186	194
49	187	187
50	188	181
51	189	175
52	190	168
53	191	163
54	192	157
55	193	151
56	194	146
57	195	141
58	196	136
59	197	131
60	198	126
61	199	122
62	200	117
63	201	113
64	202	108
65	203	104
66	203	100
67	204	96
68	205	92
69	206	88
70	207	84
71	208	81
72	209	77
73	210	73
74	211	70
75	212	67
76	213	63
77	214	60
78	215	57
79	216	54
80	217	51
81	218	47
82	219	44
83	220	41
84	221	39
85	222	36
86	223	33
87	224	30
88	225	27
89	226	25
90	232	23
91	240	20
92	244	18
93	245	15
94	246	12
95	247	10
96	248	7
97	248	5
98	249	2
99	250	0
